Angles-min,Angles-max,Angles-avg,Angles-std,Curves-min,Curves-max,Curves-avg,Curves-std,deltaCurves-min,deltaCurves-max,deltaCurves-avg,deltaCurves-std,hVelocity-min,hVelocity-max,hVelocity-avg,hVelocity-std,vVeclocity-min,vVeclocity-max,vVeclocity-avg,vVeclocity-std,Velocity-min,Velocity-max,Velocity-avg,Velocity-std,Acceleration-min,Acceleration-max,Acceleration-avg,Acceleration-std,Jerk-min,Jerk-max,Jerk-avg,Jerk-std,Angular velocity-min,Angular velocity-max,Angular velocity-avg,Angular velocity-std,
-0.174672,-0.174672,-0.174672,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-2.887919,3.141593,-0.274597,2.078310,-0.221031,0.332017,-0.007275,0.105772,-0.068561,0.027830,-0.006234,0.023528,-30.000000,39.000000,1.823529,15.593409,-23.000000,36.000000,1.470588,15.087734,0.000000,43.829214,14.826278,15.590633,-12.230226,9.361541,-1.045130,5.700940,-10.634871,4.841250,-0.076503,4.004014,-0.704685,2.899210,0.020792,0.772025,
-2.356194,0.000000,-1.047048,0.859584,-0.350111,0.392699,-0.112645,0.260168,-0.104369,0.163625,-0.020331,0.104962,0.000000,4.000000,1.142857,1.676163,-4.000000,0.000000,-1.000000,1.414214,0.000000,5.656854,1.808122,1.919846,-2.328427,1.000000,-0.429738,1.129250,-1.000000,0.582107,0.103921,0.668722,-0.553574,0.392699,-0.166201,0.303795,
-3.017238,3.141593,1.077359,1.944832,-2.602576,5.819538,0.203896,1.353900,-5.300392,8.422114,0.132936,1.841079,-40.000000,19.000000,-1.595238,11.307368,-36.000000,10.000000,-0.547619,7.619623,0.000000,41.182521,8.683218,10.563712,-10.883016,13.000000,0.002033,4.445932,-10.583256,5.000000,-0.016380,3.084090,-2.980717,3.079415,-0.001709,1.228429,
-3.050933,3.141593,-0.152509,1.727807,-3.887523,4.588034,-0.054934,1.178825,-6.158830,4.583855,-0.147063,1.500108,-17.000000,40.000000,2.076923,9.844541,-25.000000,32.000000,0.307692,8.826258,0.000000,44.553339,6.941327,11.397023,-20.689620,19.189620,0.011470,6.922490,-19.939620,12.945249,-0.117458,5.519047,-1.287432,2.650196,0.023789,0.687842,
-2.677945,-2.634494,-2.656220,0.030724,0.004220,0.004220,0.004220,0.000000,NaN,NaN,NaN,NaN,-4.000000,-4.000000,-4.000000,0.000000,-2.000000,-2.000000,-2.000000,0.000000,4.472136,4.472136,4.472136,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021725,0.021725,0.021725,0.000000,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-1.570796,1.570796,0.000000,2.221441,-3.141593,-3.141593,-3.141593,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.785398,-0.785398,-0.785398,0.000000,
-3.041924,3.141593,-0.367000,1.834260,-0.336069,1.214989,0.040248,0.318151,-0.429564,0.286887,-0.010164,0.132611,-45.000000,26.000000,-0.619048,17.042524,-6.000000,1.000000,-1.523810,2.159144,0.000000,45.177428,11.115192,12.970163,-22.088714,17.218349,-0.375178,7.907763,-11.979539,13.886686,-0.110872,5.890184,-3.069801,2.577382,-0.133559,1.129090,
0.950547,2.356194,1.534184,0.634091,-0.056228,0.012540,-0.016002,0.026001,-0.003966,0.004537,-0.000239,0.003888,-4.000000,7.000000,1.200000,3.962323,2.000000,10.000000,5.200000,3.114482,2.236068,12.206556,6.090260,3.825692,-4.300502,3.103278,-0.520882,3.030340,-3.701890,1.807880,-0.080530,3.137153,-0.337370,0.050552,-0.132582,0.178771,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-3.109346,3.141593,0.138226,1.740366,-2.602576,3.094117,0.096731,0.774180,-2.547639,1.690369,0.009456,0.599117,-31.000000,16.000000,0.288889,9.745913,-15.000000,7.000000,0.000000,3.444363,0.000000,31.016125,7.415424,7.119941,-8.692388,11.476934,0.005682,3.821017,-6.949372,5.039416,-0.059593,2.679585,-3.042895,3.094117,0.015119,1.088601,
2.944197,3.141593,3.057471,0.085691,-0.038712,0.045330,0.003674,0.034313,-0.000045,0.020769,0.007855,0.011276,-7.000000,-1.000000,-3.750000,2.753785,0.000000,1.000000,0.250000,0.500000,1.000000,7.071068,3.767767,2.781830,-2.000000,2.535534,-0.166667,2.389344,-1.785534,-0.482233,-1.133883,0.921573,-0.098698,0.045330,0.000000,0.066548,
-2.356194,3.141593,0.712138,1.742290,-3.618464,3.926991,-0.178350,1.585374,-3.513950,7.545455,0.072225,2.311886,-40.000000,3.000000,-3.315789,10.546472,-1.000000,4.000000,0.736842,1.484816,0.000000,40.199502,4.494220,10.212296,-10.975353,18.099751,-0.074074,5.548982,-13.053058,8.716542,-0.013072,4.174380,-2.558640,1.963495,-0.058672,0.935858,
-1.570796,3.141593,0.833493,1.566226,-1.570796,3.141593,0.333409,1.366150,-3.141593,3.776905,0.349573,1.849850,-5.000000,44.000000,4.692308,13.356550,-15.000000,4.000000,-1.307692,4.714952,0.000000,46.486557,6.545827,13.413233,-12.323114,21.181726,0.103962,8.120790,-16.752420,9.560086,-0.003731,6.379070,-0.964783,1.570796,0.034012,0.617976,
-2.677945,1.570796,-1.151051,1.596893,-1.900095,0.136507,-0.145509,0.530956,-0.896950,0.288019,-0.072072,0.289870,-31.000000,41.000000,0.357143,15.475077,-28.000000,20.000000,-1.071429,10.915510,0.000000,45.617979,10.979689,15.171456,-17.685036,13.108424,-1.786589,7.576308,-15.396730,7.241737,0.351634,5.460594,-2.124371,0.482626,-0.111668,0.612736,
-1.570796,0.785398,-0.135105,1.011806,0.029708,1.570796,0.660880,0.807473,-0.186884,0.249203,0.031159,0.308360,0.000000,4.000000,1.333333,2.309401,0.000000,1.000000,0.333333,0.577350,0.000000,4.123106,1.374369,2.380476,-2.061553,2.061553,0.000000,2.915476,-2.061553,-2.061553,-2.061553,0.000000,0.122489,0.392699,0.261799,0.135301,
1.570796,1.570796,1.570796,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-1.969319,2.750986,0.608351,1.457651,-1.570796,1.570796,0.001857,0.560024,-1.721256,1.570796,-0.102810,0.717995,-9.000000,31.000000,2.941176,8.989373,-27.000000,30.000000,2.352941,11.789514,0.000000,43.139309,9.722784,11.594576,-11.913051,17.268492,-0.306539,7.182179,-14.590771,7.558955,-0.130726,6.146349,-1.180076,0.523599,-0.020147,0.422393,
-2.553590,3.141593,-1.670746,1.829514,-0.227512,5.608444,0.671803,1.998186,-0.285171,5.594898,0.778707,2.127133,-14.000000,0.000000,-3.250000,4.920801,-12.000000,0.000000,-3.000000,4.105745,0.000000,18.439089,4.466213,6.374319,-4.609772,7.805331,-0.067344,4.092756,-6.207552,1.804886,-0.624255,2.825544,-0.392699,0.934741,0.060839,0.391941,
-2.034444,-1.570796,-1.663526,0.207350,-0.207350,0.000000,-0.051837,0.103675,-0.092730,0.000000,-0.030910,0.053537,0.000000,0.000000,0.000000,0.000000,-4.000000,-1.000000,-2.000000,1.414214,1.000000,4.000000,2.000000,1.414214,-1.000000,0.000000,-0.500000,0.500000,0.250000,0.250000,0.250000,0.000000,-0.231824,0.000000,-0.057956,0.115912,
-1.570796,-1.570796,-1.570796,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-3.006065,3.141593,0.117333,2.293784,-1.193522,1.405648,0.083947,0.634832,-0.104580,1.410949,0.161461,0.471375,-11.000000,3.000000,-0.800000,3.794733,-7.000000,3.000000,-1.000000,3.055050,0.000000,11.045361,3.637773,3.294205,-1.987147,4.522681,-0.074074,2.070331,-3.254914,1.461383,-0.434036,1.412821,-3.042895,0.788583,-0.107279,1.105873,
-3.009041,3.141593,-0.615633,3.046102,-1.464480,0.438583,-0.091379,0.631725,-0.365707,0.319405,0.036048,0.239099,-11.000000,0.000000,-4.285714,3.988077,-1.000000,1.000000,0.142857,0.690066,0.000000,11.045361,4.315234,4.013546,-5.022681,1.491552,-0.237418,2.447434,-3.257116,2.761340,-0.120037,2.131534,-3.019103,2.908528,0.013404,1.712259,
0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-2.432966,3.141593,-0.118601,1.626397,-3.729595,1.178097,-0.051022,0.941892,-3.711346,0.918970,-0.170056,0.915213,-10.000000,4.000000,-0.250000,3.209771,-18.000000,6.000000,-2.300000,6.383367,0.000000,18.027756,4.341986,6.069524,-4.609772,6.497069,-0.158988,2.247402,-3.020906,3.894809,-0.031978,1.478476,-1.864798,0.785398,-0.066949,0.565673,
0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.000000,3.141593,1.914255,1.679671,0.090070,0.223049,0.156559,0.094030,-0.022163,-0.022163,-0.022163,0.000000,-5.000000,-3.000000,-4.000000,1.414214,0.000000,3.000000,1.500000,2.121320,3.000000,5.830952,4.415476,2.001785,-1.415476,-1.415476,-1.415476,0.000000,NaN,NaN,NaN,NaN,0.270210,1.300587,0.785398,0.728586,
-2.976444,3.141593,0.235877,2.352735,-1.570796,5.497787,0.415753,1.496216,-2.761086,5.169939,0.229122,1.602806,-9.000000,1.000000,-1.173913,2.309116,-5.000000,11.000000,0.391304,3.100427,0.000000,11.401754,2.476961,3.182961,-4.582843,2.806997,0.011215,1.760798,-3.621169,1.732405,-0.041845,1.250155,-2.787280,2.748894,-0.104193,1.102987,
-2.944197,3.141593,0.251885,2.600140,-2.602576,0.335148,-0.582301,1.191250,-1.186829,0.060297,-0.325852,0.579571,-8.000000,27.000000,2.600000,13.903237,0.000000,18.000000,4.200000,7.823043,1.000000,32.449961,9.398793,13.212811,-15.224981,3.272002,-3.931245,7.945046,-3.022002,9.248491,2.370830,6.268556,-2.909769,2.863510,-0.328627,2.196603,
