feature,accuracy,precision,recall
ATTACK,0.7371996519643933,0.7618319103785224,0.8360593587521664
MOVE,0.7231795964406568,0.7096034488030085,0.7395876485771645
CAST,0.6376262626262627,0.6417112299465241,0.8071748878923767
ATTACK,0.7281227219422522,0.780746395250212,0.8084805308870889
MOVE,0.7091995841995842,0.7215424752710075,0.765432829635769
CAST,0.582995951417004,0.576379974326059,0.8455743879472694
ATTACK,0.7169120394589343,0.7473643324825213,0.8166990055784623
MOVE,0.6999907925562933,0.7765808617795188,0.6278346434428547
CAST,0.6510695187165776,0.6710875331564987,0.6487179487179487
ATTACK,0.781427355278093,0.8175542879056613,0.8786255216114575
MOVE,0.7005249979807769,0.6708099947796887,0.7757256367166468
CAST,0.6216577540106952,0.7773851590106007,0.5
ATTACK,0.7141362821279139,0.7524645993905718,0.7820902937340868
MOVE,0.7141890329047126,0.7042769005542194,0.7113810404013731
CAST,0.6310935441370223,0.6501240694789082,0.6533665835411472
