feature,accuracy,precision,recall
ATTACK,0.6733819690783749,0.7521144710925732,0.7031520797227037
MOVE,0.6364676024564482,0.6083430509912011,0.731461712501195
CAST,0.6161616161616161,0.6460905349794238,0.7040358744394619
ATTACK,0.6557636841938449,0.7567020199328466,0.6927881331121304
MOVE,0.6239361356548857,0.6447558351717189,0.7007414862284843
CAST,0.6022267206477733,0.6123778501628665,0.7080979284369114
ATTACK,0.6221508108512069,0.7273375142531356,0.6188455008488964
MOVE,0.6451758110223331,0.7001002353351347,0.6056476088144923
CAST,0.6510695187165776,0.6858789625360231,0.6102564102564103
ATTACK,0.6756881384790011,0.8062880324543611,0.6962547009427644
MOVE,0.6208626120668767,0.6025498099076695,0.6878334502618655
CAST,0.6403743315508021,0.7002341920374707,0.6795454545454546
ATTACK,0.6660938433950986,0.752769350172864,0.6625473514252003
MOVE,0.7023584137889678,0.720473306549939,0.6345568171815861
CAST,0.6600790513833992,0.696969696969697,0.6309226932668329
