numSplits,split,accuracy,precision,recall,model
1,1,0.4577268195413759,0.45574504290143486,0.5306838106370544,Logistic Regression,items-hashed
1,1,0.43399800598205385,0.43330108681190005,0.4928112215078901,Logistic Regression,items-onehot
1,1,0.43565019228030194,0.43807785504903973,0.5100526008182349,Logistic Regression,items-starting
1,1,0.4999857570146703,0.4929694657382284,0.4963763880771479,Logistic Regression,items-select
1,1,0.6146845178749466,0.6259054782982998,0.5369959088252484,Random Forest,items-hashed
1,1,0.608033043725965,0.6099810877372777,0.565166569257744,Random Forest,items-onehot
1,1,0.6097279589802022,0.6023498007368976,0.60239625949737,Random Forest,items-starting
1,1,0.6097849309215212,0.6058285440613027,0.6092928112215079,Random Forest,items-select
1,1,0.6452072354365475,0.6345513757004475,0.6817066043249562,Multi-layer Perceptron,items-hashed
1,1,0.6603475288420453,0.6311633527988374,0.7462302746931619,Multi-layer Perceptron,items-onehot
1,1,0.6536248397664151,0.6286083909435398,0.7292811221507889,Multi-layer Perceptron,items-starting
1,1,0.6098276598775103,0.6055613005081879,0.6127410870835769,Multi-layer Perceptron,items-select
